,tag,embedding,similarity
10,mitec,"[-0.01635373 -0.01590475 -0.00411905 ...  0.00097279 -0.00869387
 -0.00745578]",0.7899793873822784
19,tubo,"[-0.02376252 -0.01233876  0.00902703 ...  0.01716637 -0.01094578
 -0.01060437]",0.7893358446670485
19,Conector,"[-0.03241772  0.00294427  0.01813751 ...  0.00064801 -0.01753566
  0.00859685]",0.7880976657228277
18,automotive,"[-0.00151949  0.00067152  0.00681721 ... -0.00721861 -0.00842952
  0.00162318]",0.7879047533229713
18,TR-3285-helados-interior,"[ 2.36084579e-05 -2.22518854e-03 -5.53346425e-03 ...  9.43535473e-03
 -1.24069015e-02 -1.74404792e-02]",0.7877621750933717
3,Detección-defectos-en-textil,"[-0.03647802  0.00792706  0.00359766 ...  0.01890298 -0.01317111
  0.01865907]",0.7875616748970845
10,taladros,"[-0.02330793 -0.00549314  0.00140954 ...  0.01151234 -0.00147361
  0.01047373]",0.786846547596498
18,Inspección-flanco,"[-0.02505943  0.02248273  0.0068089  ...  0.02140132  0.01592749
 -0.01268325]",0.7864090396125346
17,presencia-arandelas,"[-0.00951152 -0.0112811   0.00607604 ...  0.00166071 -0.00268894
 -0.02351612]",0.7863117903851198
11,cilindro,"[-0.018787    0.0102349   0.00596214 ...  0.02691181 -0.0341032
 -0.01975987]",0.7863093881237971
2,linea-envasado,"[-0.035342   -0.00417502  0.00313126 ... -0.01140154 -0.01663071
 -0.0062764 ]",0.7861760444140143
18,Control-defectos-superficiales-monedas,"[-0.01731376  0.0057071   0.01769167 ... -0.00356213 -0.00319997
 -0.01949722]",0.7858718388283773
18,Inspección-optica,"[-0.0147629   0.01092005  0.00333686 ...  0.0012815  -0.00886303
 -0.00418018]",0.7855564467954729
6,Grasa-en-embutidos,"[-0.03892065 -0.00581126 -0.00748887 ... -0.00585152 -0.01802429
 -0.02105741]",0.7854340316373782
2,Defectos-tapón,"[-0.02295044  0.00499251  0.01972282 ...  0.00793857 -0.00647584
 -0.00748533]",0.7853118003360119
